Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
James River Face Wilderness,JARI1,IMPAER,US,VA,51163,511639000,37.6266,-79.5125,289,06/03/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Jarbidge Wilderness,JARB1,IMPAER,US,NV,32007,320079000,41.8926,-115.4261,1869,03/02/1988,02/27/2020,NA,Unknown,NA,"Mahoney Forest Service Station, Jarbidge, NV",USFS,IMPROVE,2
Jefferson NF,JEFF1,IMPAER,US,VA,51163,511639001,37.6167,-79.4833,219,09/03/1994,02/26/2000,NA,Unknown,NA,"Arnold Valley - Puritan Tract, Natural Bridge, VA",NA,IMPROVE,1
Joshua Tree NP,JOSH1,IMPAER,US,CA,06071,060719002,34.06957,-116.38895,1235,02/23/2000,02/27/2020,NA,Unknown,NA,NA,NPS,IMPROVE,2
Joshua Tree NP,JOTR1,IMPAER,US,CA,06071,060719002,34.06955,-116.38899,1228,09/04/1991,12/29/1999,NA,Unknown,NA,Lost Horse Ranger Station,NA,IMPROVE,1
Kaiser,KAIS1,IMPAER,US,CA,06019,060199000,37.2207,-119.1546,2597,01/26/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Kalmiopsis,KALM1,IMPAER,US,OR,41033,410330010,42.552,-124.0589,80,03/11/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Kenai Peninsula Borough,KPBO1,IMPAER,US,AK,02122,NA,60.01232,-151.71149,5,08/19/2015,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Lake Sugema,LASU1,IMPAER,US,IA,19177,191770006,40.6883,-91.9883,210,05/08/2002,11/29/2004,NA,Unknown,NA,NA,STATE,IMPROVE,1
Lake Sugema,LASU2,IMPAER,US,IA,NA,NA,40.6932,-92.0059,229,12/02/2004,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Lake Tahoe Community College,LTCC1,IMPAER,US,CA,06017,NA,38.9248,-119.9799,1935,02/19/2014,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Lassen Volcanic NP,LAVO1,IMPAER,US,CA,06089,060893003,40.5398,-121.5768,1732,03/02/1988,02/27/2020,NA,Unknown,NA,"Ranger station near NW entrance, Manzanita Lake, 25 yds SE of Fire Station",NPS,IMPROVE,2
